,date,reservoirH,upperH_med,downH_med,Rainfall (mm),Temp (degree),Moisture (percent)
0,2015-01-01,39.3,,,0.2,-1.8,62.9
1,2015-01-02,39.34,,,2.4,-0.8,74.8
2,2015-01-03,39.34,,,,0.3,69.4
3,2015-01-04,39.34,,,,2.6,87.6
4,2015-01-05,39.42,,,13.5,3.1,77.4
5,2015-01-06,39.47,,,2.5,1.9,66.3
6,2015-01-07,39.53,,,,-3.0,53.9
7,2015-01-08,39.56,,,,-1.9,73.0
8,2015-01-09,39.59,,,0.0,0.1,80.9
9,2015-01-10,39.59,,,,0.1,71.4
10,2015-01-11,39.59,,,0.0,1.5,61.0
11,2015-01-12,39.68,,,,-1.1,52.8
12,2015-01-13,39.7,,,,-0.3,57.4
13,2015-01-14,39.72,,,,1.7,61.3
14,2015-01-15,39.74,,,,2.8,62.3
15,2015-01-16,39.76,35.515,19.75,0.0,2.3,74.0
16,2015-01-17,39.76,35.46,20.345,,1.0,60.5
17,2015-01-18,39.76,35.5,20.48,2.0,-0.2,77.3
18,2015-01-19,39.82,35.55,20.58,0.3,2.4,68.0
19,2015-01-20,39.84,35.525,20.61,,1.8,71.3
20,2015-01-21,39.86,35.585,20.57,5.0,2.3,77.6
21,2015-01-22,39.89,35.64,20.58,1.0,4.2,89.1
22,2015-01-23,39.92,35.63,20.61,,2.2,81.3
23,2015-01-24,39.92,35.64,20.62,,3.8,78.6
24,2015-01-25,39.92,35.66,20.595,2.5,4.1,73.5
25,2015-01-26,39.97,35.72,20.6,0.5,5.9,94.5
26,2015-01-27,40.0,35.7,20.63,,1.5,65.4
27,2015-01-28,40.02,35.685,20.63,,-1.6,58.9
28,2015-01-29,40.04,35.71,20.6,,0.7,65.4
29,2015-01-30,40.06,35.74,20.61,,1.6,63.9
30,2015-01-31,40.06,35.72,20.64,,-0.6,59.0
31,2015-02-01,40.06,35.71,20.62,,-0.9,65.6
32,2015-02-02,40.11,35.75,20.61,,0.6,58.6
33,2015-02-03,40.12,35.78,20.6,,0.6,63.8
34,2015-02-04,40.14,35.84,20.59,0.3,-0.1,91.9
35,2015-02-05,40.11,35.87,20.62,,1.1,73.0
36,2015-02-06,40.06,35.85,20.63,,1.4,72.5
37,2015-02-07,40.06,35.89,20.6,,2.8,74.3
38,2015-02-08,40.06,35.855,20.65,,-0.5,52.6
39,2015-02-09,39.91,35.83,20.645,0.2,-2.7,58.9
40,2015-02-10,39.9,35.9,20.59,,2.7,71.0
41,2015-02-11,39.91,35.95,20.6,,3.1,86.5
42,2015-02-12,39.93,35.94,20.64,,1.8,49.8
43,2015-02-13,39.94,35.9,20.66,,1.2,55.3
44,2015-02-14,39.94,35.89,20.63,,1.7,77.3
45,2015-02-15,39.94,35.9,20.61,1.5,6.8,66.0
46,2015-02-16,39.98,35.95,20.6,13.0,6.0,97.9
47,2015-02-17,40.01,35.94,20.63,0.0,4.2,77.3
48,2015-02-18,40.01,35.91,20.64,,3.3,69.6
49,2015-02-19,40.01,35.88,20.65,,3.7,69.8
50,2015-02-20,40.01,35.88,20.62,,3.2,71.5
51,2015-02-21,40.01,35.955,20.58,5.0,6.4,79.1
52,2015-02-22,40.01,35.97,20.64,3.0,6.7,78.1
53,2015-02-23,40.16,35.96,20.63,,5.1,66.1
54,2015-02-24,40.18,35.97,20.62,,4.8,70.0
55,2015-02-25,40.15,35.985,20.62,,3.9,61.5
56,2015-02-26,40.11,35.985,20.64,0.4,6.2,62.4
57,2015-02-27,40.07,35.93,20.67,,3.2,51.4
58,2015-02-28,40.07,35.92,20.63,,3.1,46.8
59,2015-03-01,40.07,35.97,20.62,0.3,5.9,71.3
60,2015-03-02,39.94,35.96,20.63,,3.7,60.5
61,2015-03-03,39.93,36.01,20.61,2.5,4.9,59.6
62,2015-03-04,39.87,35.94,20.68,,1.8,48.1
63,2015-03-05,39.86,35.89,20.66,,2.7,53.3
64,2015-03-06,39.86,35.9,20.63,,5.2,56.5
65,2015-03-07,39.86,35.91,20.63,,4.8,62.6
66,2015-03-08,39.86,35.9,20.62,,6.3,49.6
67,2015-03-09,39.91,35.9,20.64,,7.8,50.4
68,2015-03-10,39.93,35.9,20.65,,4.4,43.6
69,2015-03-11,39.92,35.9,20.62,,5.3,56.4
70,2015-03-12,39.94,35.9,20.62,,5.8,56.1
71,2015-03-13,39.95,35.9,20.62,0.1,9.8,59.1
72,2015-03-14,39.95,35.9,20.65,,6.0,55.1
73,2015-03-15,39.95,35.9,20.63,,6.8,61.8
74,2015-03-16,39.98,35.9,20.62,,10.0,50.9
75,2015-03-17,40.0,35.9,20.61,0.0,11.1,53.4
76,2015-03-18,40.02,35.89,20.62,23.5,10.1,86.0
77,2015-03-19,40.06,35.86,20.62,,13.5,76.3
78,2015-03-20,40.09,,,,11.1,76.1
79,2015-03-21,40.09,,,,11.0,78.6
80,2015-03-22,40.09,,,,9.9,73.5
81,2015-03-23,40.14,,,,8.7,53.8
82,2015-03-24,40.15,,,,9.0,56.3
83,2015-03-25,40.17,,,,9.1,60.5
84,2015-03-26,40.18,,,,10.8,48.8
85,2015-03-27,40.14,35.98,20.7,,11.7,52.5
86,2015-03-28,40.14,,,,11.9,46.9
87,2015-03-29,40.14,,,0.0,14.0,77.3
88,2015-03-30,40.0,35.83,20.57,,15.1,84.3
89,2015-03-31,40.01,35.84,20.51,4.5,11.6,100.0
90,2015-04-01,40.03,35.85,20.52,1.5,13.5,87.3
91,2015-04-02,40.05,35.9,20.45,25.5,17.0,75.5
92,2015-04-03,40.33,35.94,20.54,15.5,12.3,96.0
93,2015-04-04,40.33,35.9,20.57,14.0,13.3,81.4
94,2015-04-05,40.33,35.89,20.56,4.5,12.6,100.0
