No	X	Y	
a01	231795.434	288006.976	8.05
a02	231897.83	288015.874	5.9
a03	231854.402	287993.838	3.95
a04	231826.3	287937.487	3.1
a05	231773.701	287940.242	1.25
a06	231768.978	287907.189	3.45
aa01	230862.652	288176.028	-0.4
aa02	230865.78	288097.135	-4.7
aa03	230920.657	288026.784	-3.3
aa04	230859.225	288265.231	-4.4
aa05	230934.81	288195.673	-6.25
aa06	230909.616	288276.755	-20.1
aa07	230880.702	288316.469	-17.25
aa08	230911.736	288360.761	-14
aa09	230979.827	288126.715	3.5
aa10	231000.565	288049.235	-2.75
aa11	231006.127	288305.299	-4.4
aa12	231051.896	288145.515	3.05
aa13	231073.177	288067.551	0.05
aa14	231031.566	288222.212	-5.2
aa15	231127.489	288248.035	5.05
aa16	231147.186	288170.684	-0.4
aa17	231159.969	288122.006	0
aa18	231222.995	288143.498	-1.4
aa19	231011.122	288392.341	5.9
aa20	231082.889	288410.895	13.2
aa21	231096.75	288330.709	-6.1
aa22	231219.495	288190.692	8.8
aa23	231224.275	288275.594	5.7
aa24	231224.83	288366.103	0
aa25	231180.326	288436.044	5.1
aa26	231255.759	288459.755	0.2
aa27	231338.409	288482.225	8.4
aa28	231410.981	288502.162	0.6
aa29	231515.397	288522.681	-17.6
aa30	231607.502	288546.274	-11.1
aa31	231683.443	288568.26	-12.8
aa32	231772.618	288615.009	-9
aa33	231778.543	288506.738	-4
aa34	231664.242	288474.985	-0.2
aa35	231614.228	288468.621	-4.5
aa36	231523.103	288438.31	-6.6
aa37	231483.907	288435.161	-2.8
aa38	231397.875	288412.763	0.2
aa39	231326.344	288392.207	-3.5
aa40	231299.038	288293.176	10.2
aa41	231396.58	288321.031	5.55
aa42	231391.037	288253.681	10.25
aa43	231326.163	288214.322	3.15
aa44	231502.39	288348.615	0.25
aa45	231681.38	288370.341	8.1
aa46	231601.735	288370.178	4.8
aa47	231505.502	288262.258	9
aa48	231592.635	288270.662	1.2
aa49	231692.858	288277.503	3.2
aa50	231768.396	288286.752	5.2
aa51	231767.86	288372.425	2.1
b01	231752.978	288100.418	5.87
b02	231743.721	288046.688	4.24
b03	231724.713	287997.329	6.21
b04	231709.899	287947.105	-3.42
b05	231693.54	287897.277	3.75
b06	231678.499	287844.698	2.92
b07	231656.384	287800.222	10.39
b08	231642.968	287759.137	14
bb01	231216.38	287402.737	7.7
bb02	230918.682	287271.916	14.1
bb03	231151.908	287371.6	6
bb04	230990.586	287304.19	12
bb05	231079.412	287334.242	0
bb06	231276.695	287304.078	10.2
bb07	230960.953	287180.968	21
bb08	231199.403	287271.243	8.2
bb09	231034.313	287215.351	14.9
bb10	231116.246	287253.023	10.5
bb11	231293.063	287215.294	7.6
bb12	231005.004	287091.277	9.1
bb13	231237.546	287190.459	11.15
bb14	231076.374	287126.054	8.85
bb15	231157.765	287165.164	8.05
bb16	231302.52	287129.414	15.45
bb17	231037.243	287024.042	9.05
bb18	231275.585	287110.731	10.35
bb19	231107.438	287057.087	11.35
bb20	231187.637	287105.299	10.25
bb21	230873.893	287372.927	11.4
bb22	231144.082	287509.064	10.4
bb23	230946.386	287407.472	10.9
bb24	231096.538	287486.185	10.2
bb25	231020.329	287450.844	10.8
bb26	230785.147	287507.556	11
bb27	231089.313	287645.832	16.6
bb28	230872.935	287555.8	12.1
bb29	231028.589	287623.298	16.2
bb30	230952.44	287591.403	14.9
bb31	230741.501	287672.659	6.5
bb32	231031.237	287804.368	10.6
bb33	230804.343	287704.442	1.5
bb34	230958.973	287769.452	6.6
bb35	230881.23	287738.143	7.7
bb36	230767.727	287780.027	6.45
bb37	230894.23	287909.823	2.5
bb38	230841.45	287821.543	-3.25
bb39	230920.919	287935.966	
bb40	230967.075	287900.133	2.2
bb41	230900.221	287960.592	2.55
d01	231551.509	288040.444	23.05
d02	231549.556	288016.918	21.45
d03	231546.013	287970.022	15.35
d04	231542.406	287919.797	13.35
d05	231538.831	287871.302	13.95
d06	231535.504	287823.424	11.25
d07	231531.414	287773.719	17
d08	231525.599	287722.48	12.45
d09	231521.774	287674.067	11.95
d10	231517.876	287624.363	13.05
d11	231514.02	287578.958	14.95
d12	231510.776	287529.114	14.55
d13	231505.255	287470.984	15.65
d14	231505.592	287446.78	9.75
dc1	231562.488	287502.488	16.9
dc2	231566.653	287456.058	20.1
dc3	231545.318	287417.317	16.5
dc4	231558.462	287370.563	13.9
dc5	231562.765	287323.138	6.7
dc6	231551.322	287292.082	9.5
e03	231464.783	288021.908	14.7
e04	231462.959	287972.851	11.4
e05	231459.465	287923.231	13
e06	231456.101	287874.595	17.3
e07	231450.213	287827.679	14.7
e08	231446.246	287781.053	24.8
e09	231445.1	287725.26	18.7
e10	231438.826	287673.203	18.1
e11	231436.286	287619.892	19
e12	231431.777	287563.577	11
e13	231427.636	287506.471	16.8
e14	231423.064	287451.459	14
e15	231419.332	287398.239	10.6
e16	231415.151	287346.864	12.5
e17	231410.841	287294.139	5.2
e18	231406.994	287240.503	11.3
e19	231406.404	287190.219	2
e20	231410.556	287174.412	12.5
f02	231382.754	288071.946	18.33
f03	231380.07	288037.463	14.23
f04	231376.287	287987.854	13.93
f05	231372.237	287937.345	14.43
f06	231368.693	287885.226	17.13
f07	231364.679	287835.711	13.33
f08	231361.853	287786.923	15.34
f09	231357.915	287737.479	15.09
f10	231354.185	287689.125	15.22
f11	231347.918	287634.948	13.05
f12	231344.485	287584.026	14.08
f13	231339.522	287525.532	12.31
f14	231335.745	287473.921	14.64
f15	231331.677	287423.198	9.07
f16	231327.905	287375.413	19.1
g01	231295.202	288026.208	17.25
G02	231290.885	287969.657	19.85
G03	231286.981	287916.081	17.75
G04	231284.747	287863.031	16.95
G05	231278.916	287810.573	12.55
G06	231275.18	287758.383	22.85
G07	231271.995	287707.793	19.85
G08	231267.133	287658.559	27.05
G09	231265.335	287607.122	21.75
G10	231261.228	287556.28	14.75
H01	231239.637	288018.467	19.9
H02	231234.038	287970.865	22.1
H03	231227.84	287918.832	21.2
H04	231224.399	287864.665	18.9
H05	231219.218	287813.215	15
H06	231208.051	287801.725	14.7
H07	231224.663	287768.282	18.2
H08	231221.436	287718.686	11.2
H09	231180.204	287679.994	16.95
H10	231188.403	287628.32	16.45
H11	231195.017	287595.493	12.95
I01	231144.66	287957.226	20.4
I02	231150.504	287881.137	24.9
cc01	231841.491	288369.565	-0.11
cc02	231896.349	288359.603	9.65
cc03	231877.629	288507.587	61.75
cc05	231995.014	288434.389	7.65
cc08	232098.699	288508.07	-0.19
cc04	231948.246	288471.7	-0.44
cc06	231897.666	288580.028	1.68
cc09	232023.796	288623.343	2.77
cc07	231986.442	288540.228	-15.31
cc11	232185.769	288630.896	-8.59
cc10	232191.927	288570.842	10.55
CC12	231968.565	288747.013	23.92
CC13	232110.636	288708.651	-4.76
cc14	231982.438	288907.408	6.62
cc15	232088.819	288846.238	-1.44
cc16	232182.542	288793.408	5.99
cc17	232292.1	288731.518	10.19
cc18	231845.205	288900.397	8.22
cc19	231728.885	288840.151	7.43
cc20	231598.802	288806.063	10.56
cc21	232058.667	289082.252	2.62
cc22	232051.119	289212.668	4.92
cc23	232049.067	289359.552	9.73
cc24	231900.18	289356.454	13.95
cc25	232182.206	289211.653	17.17
cc26	231907.574	289204.094	6.32
cc27	231741.367	289222.217	3.498
cc28	232214.715	289030.893	5.99
cc29	232313.691	288939.738	7.8
cc30	232406.994	288839.16	5.77
cc31	231908.928	289074.26	0.843
cc33	231588.887	288982.229	6.28
cc32	231731.88	289006.439	15.08
cc34	231581.94	289113.417	13.36
cc35	231434.22	288841.061	0.958
cc36	231267.279	288755.593	9.37
cc37	231139.12	288709.618	11.07
cc38	231032.32	288656.555	13.56
cc39	230933.6	288612.143	18.9
cc40	231476.021	288718.619	6.65
cc41	231447.251	289030.075	2.86
cc42	231385.892	289182.953	3.62
cc43	231263.214	289127.001	7.46
CC44	231329.318	288974.15	16.47
cc45	231149.024	288893.007	11.7
cc46	231079.575	289041.276	-2.08
dd01	231368.419	286399.921	6.99
dd02	231324.892	286529.38	3.64
dd03	231309.509	286665.369	6.84
dd04	231205.016	286627.257	12.68
dd05	231070.572	286620.814	21.82
dd06	231116.884	286708.906	17.18
dd07	231245.952	286767.248	21.75
dd08	231180.33	286910.093	30.78
dd09	231334.686	286759.877	13.34
dd10	231356.811	286885.53	14.37
dd11	231403.428	287043.352	14.13
dd12	231341.109	287051.633	18.86
dd13	231483.32	286813.957	12.59
dd14	231605.366	286765.224	12.63
dd15	231727.965	286744.87	16.01
dd16	231697.934	286627.073	23.8
dd17	231643.12	287265.257	8.03
dd18	231744.594	287172.66	-0.418
dd19	231893.685	287065.54	0.312
dd20	231841.164	286995.978	7.11
dd21	231893.375	286906.959	7.98
dd22	232008.58	286793.928	10.97
dd23	232067.831	286694.029	20
ee01	232215.655	288095.248	-12.35
ee02	232320.254	288046.035	2.09
ee03	232341.863	288396.421	1.24
ee04	232302.681	288534.726	3.18
ee05	232271.453	288291.323	3.13
ee06	232164.278	288420.309	-0.325
ee07	232134.097	288225.961	-3.15
ee08	232074.092	288345.362	4.43
ee09	231995.663	288176.336	-7.89
ee10	231895.486	288273.968	1.64
ee11	231900.896	288096.448	4.01
cc47	231027.519	288835.487	-6.84
cc48	230877.373	288766.748	-0.433
ff05	230552.782	288794.418	-0.257
ff04	230729.405	288844.462	13.18
ff02	230816.543	288759.489	-3.85
ff03	230743.43	288664.389	1.45
ff01	230855.312	288606.007	4.7
re03	230842.261	287820.273	18.72
re02	230879.981	287739.065	22.4
re01	230908.445	287681.765	22.44
gg01	230686.664	287982.053	8.24
gg02	230641.995	287845.211	18.17
gg03	230618.192	287712.662	25.84
gg04	230548.868	287941.886	19.84
gg05	230512.112	287812.586	18.92
gg06	230494.218	287691.406	29.78
gg07	230405.934	287898.591	16.22
gg08	230394.055	287774.664	8.26
gg09	230362.657	287673.732	17.45
gg10	230294.094	287852.646	12.92
gg11	230259.589	287762.58	13.89
gg12	230174.673	287802.615	7.726
gg13	230070.31	287896.274	12.82
gg14	229975.494	288018.585	15.96
gg15	229950.31	288167.606	7.19
gg16	229969.877	288284.946	10.35
gg17	229902.996	288412.497	14.81
gg18	229819.058	288203.073	16.61
gg19	229903.717	287699.571	-28.7
gg20	229805.999	287752.715	5.38
gg21	229634.198	287898.723	0.91
gg22	229523.234	287996.394	11.41
gg23	229437.082	288132.355	8.08
gg24	229352.327	288177.768	14.86
gg25	229232.086	288258.539	21.4
gg26	229637.055	287708.52	12.67
gg27	229447.932	287682.356	3.94
gg28	229316.99	287716.412	4.5
gg29	229429.554	287787.826	17.34
gg30	229408.775	287871.76	15.36
hh01	230518.356	287620.608	28.92
hh02	230572.004	287527.287	31.2
hh03	230433.455	287566.706	29.53
hh04	230501.473	287456.723	30.21
hh05	230455.842	287338.934	29.22
hh06	230391.057	287445.509	24.45
hh07	230316.644	287567.132	20.02
hh08	230360.065	287273.044	28.22
hh09	230298.021	287405.812	14.22
hh10	230231.628	287517.296	14.02
hh11	230249.621	287225.882	14.34
hh12	230216.394	287346.127	9.7
hh13	230131.988	287288.336	-3.46
hh14	230087.785	287168.891	11.74
hh15	230226.776	287167.589	9.25
