date,Temp(¡ÆC),Rainfall(mm),Moisture(%),SurfaceTemp(¡ÆC),WaterH1
2015-01-01,-3.9,0.2,62.9,-1.8,39.3
2015-01-02,-4.3,2.4,74.8,-0.8,39.34
2015-01-03,-1.1,,69.4,0.3,39.34
2015-01-04,3.1,,87.6,2.6,39.34
2015-01-05,5.5,13.5,77.4,3.1,39.42
2015-01-06,0,2.5,66.3,1.9,39.47
2015-01-07,-3,,53.9,-3,39.53
2015-01-08,-2.3,,73,-1.9,39.56
2015-01-09,0.4,0,80.9,0.1,39.59
2015-01-10,0.9,,71.4,0.1,39.59
2015-01-11,2.5,0,61,1.5,39.59
2015-01-12,-1.8,,52.8,-1.1,39.68
2015-01-13,0.8,,57.4,-0.3,39.7
2015-01-14,3.3,,61.3,1.7,39.72
2015-01-15,3.1,,62.3,2.8,39.74
2015-01-16,3.3,0,74,2.3,39.76
2015-01-17,-1.3,,60.5,1,39.76
2015-01-18,0.6,2,77.3,-0.2,39.76
2015-01-19,2.7,0.3,68,2.4,39.82
2015-01-20,0.4,,71.3,1.8,39.84
2015-01-21,3.5,5,77.6,2.3,39.86
2015-01-22,2.5,1,89.1,4.2,39.89
2015-01-23,1.7,,81.3,2.2,39.92
2015-01-24,3.5,,78.6,3.8,39.92
2015-01-25,7.1,2.5,73.5,4.1,39.92
2015-01-26,5.6,0.5,94.5,5.9,39.97
2015-01-27,-1,,65.4,1.5,40
2015-01-28,-2.8,,58.9,-1.6,40.02
2015-01-29,0.5,,65.4,0.7,40.04
2015-01-30,-0.8,,63.9,1.6,40.06
2015-01-31,-3,,59,-0.6,40.06
2015-02-01,-2.4,,65.6,-0.9,40.06
2015-02-02,-0.2,,58.6,0.6,40.11
2015-02-03,0.4,,63.8,0.6,40.12
2015-02-04,-0.1,0.3,91.9,-0.1,40.14
2015-02-05,0.7,,73,1.1,40.11
2015-02-06,0.4,,72.5,1.4,40.06
2015-02-07,2.1,,74.3,2.8,40.06
2015-02-08,-5.7,,52.6,-0.5,40.06
2015-02-09,-3.1,0.2,58.9,-2.7,39.91
2015-02-10,4.5,,71,2.7,39.9
2015-02-11,3.1,,86.5,3.1,39.91
2015-02-12,0.1,,49.8,1.8,39.93
2015-02-13,-1.3,,55.3,1.2,39.94
2015-02-14,2.8,,77.3,1.7,39.94
2015-02-15,9.4,1.5,66,6.8,39.94
2015-02-16,6,13,97.9,6,39.98
2015-02-17,3.3,0,77.3,4.2,40.01
2015-02-18,2.5,,69.6,3.3,40.01
2015-02-19,2.2,,69.8,3.7,40.01
2015-02-20,4.3,,71.5,3.2,40.01
2015-02-21,8.7,5,79.1,6.4,40.01
2015-02-22,4.4,3,78.1,6.7,40.01
2015-02-23,2.4,,66.1,5.1,40.16
2015-02-24,2.4,,70,4.8,40.18
2015-02-25,4.6,,61.5,3.9,40.15
2015-02-26,2.7,0.4,62.4,6.2,40.11
2015-02-27,-0.4,,51.4,3.2,40.07
2015-02-28,3.3,,46.8,3.1,40.07
2015-03-01,3.1,0.3,71.3,5.9,40.07
2015-03-02,2.7,,60.5,3.7,39.94
2015-03-03,4.6,2.5,59.6,4.9,39.93
2015-03-04,-0.2,,48.1,1.8,39.87
2015-03-05,-0.1,,53.3,2.7,39.86
2015-03-06,1.8,,56.5,5.2,39.86
2015-03-07,2.5,,62.6,4.8,39.86
2015-03-08,6.1,,49.6,6.3,39.86
2015-03-09,2.9,,50.4,7.8,39.91
2015-03-10,-0.9,,43.6,4.4,39.93
2015-03-11,2.7,,56.4,5.3,39.92
2015-03-12,3.1,,56.1,5.8,39.94
2015-03-13,6.8,0.1,59.1,9.8,39.95
2015-03-14,3,,55.1,6,39.95
2015-03-15,3.7,,61.8,6.8,39.95
2015-03-16,8.1,,50.9,10,39.98
2015-03-17,11.5,0,53.4,11.1,40
2015-03-18,10.9,23.5,86,10.1,40.02
2015-03-19,10.6,,76.3,13.5,40.06
2015-03-20,8.9,,76.1,11.1,40.09
2015-03-21,8.2,,78.6,11,40.09
2015-03-22,6.1,,73.5,9.9,40.09
2015-03-23,4.1,,53.8,8.7,40.14
2015-03-24,3.3,,56.3,9,40.15
2015-03-25,3.6,,60.5,9.1,40.17
2015-03-26,5.7,,48.8,10.8,40.18
2015-03-27,7,,52.5,11.7,40.14
2015-03-28,7.8,,46.9,11.9,40.14
2015-03-29,9.4,0,77.3,14,40.14
2015-03-30,10.6,,84.3,15.1,40
2015-03-31,13.1,4.5,100,11.6,40.01
2015-04-01,13.7,1.5,87.3,13.5,40.03
2015-04-02,17,25.5,75.5,17,40.05
2015-04-03,8.5,15.5,96,12.3,40.33
2015-04-04,12.6,14,81.4,13.3,40.33
2015-04-05,11,4.5,100,12.6,40.33
2015-04-06,9.3,1.5,78.8,10.5,40.31
2015-04-07,7.9,,67.4,12.5,40.17
2015-04-08,8.3,,69,11.8,40.09
2015-04-09,8,,71.9,12.8,40
2015-04-10,9.6,,53.8,13,40.04
2015-04-11,10.6,,61.5,14.5,40.04
2015-04-12,13.9,,41.5,11.9,40.04
2015-04-13,12,1,63.3,11.3,40.12
2015-04-14,8.8,7.5,87,11.2,40.15
2015-04-15,10.9,0.2,78.4,13.4,40.18
2015-04-16,10.8,1.5,76.5,10.4,40.2
2015-04-17,8.6,,64.5,12.1,40.22
2015-04-18,14,5,44.3,14,40.22
2015-04-19,16.3,22.5,97.8,15.6,40.22
2015-04-20,12.1,5.5,90.9,13.4,40.19
2015-04-21,10.2,,75.5,14.5,40.2
2015-04-22,11.1,,70.3,14.2,40.24
2015-04-23,11.6,,66,14.7,40.27
2015-04-24,13.6,,65,17.6,40.26
2015-04-25,13.3,,43.8,17.4,40.26
2015-04-26,15.2,,44.5,18.5,40.26
2015-04-27,16.5,,44.3,20.1,40.21
2015-04-28,18.1,8.5,68.9,18.9,40.18
2015-04-29,17.4,15.5,87.8,16.9,40.13
2015-04-30,17.7,,81.8,20.5,40.16
2015-05-01,16.5,,88.9,20.7,40.16
2015-05-02,18.6,2.6,80.3,22.1,40.16
2015-05-03,17.4,8.5,98.5,19.7,40.16
2015-05-04,12.6,,73.8,17.9,40.08
2015-05-05,11.2,,62.6,17.3,40.08
2015-05-06,13.5,,46.8,15,39.97
2015-05-07,13.5,,51.8,18.7,39.91
2015-05-08,13.7,0.5,74.8,15.4,39.84
2015-05-09,15.4,0.1,76.3,21.1,39.72
2015-05-10,14.9,,74.9,21.2,39.72
2015-05-11,17.7,20,67.5,18.9,39.54
2015-05-12,13.9,4,84.5,17.5,39.53
2015-05-13,17.5,,66.6,19.3,39.5
2015-05-14,19.7,,72.1,22.6,39.45
2015-05-15,16.1,,98,17.8,39.35
2015-05-16,16,0.1,68.5,22.4,39.22
2015-05-17,17.1,,55.8,21.5,39.11
2015-05-18,16.9,,68.4,20.7,38.99
2015-05-19,14.8,,100,17.8,38.87
2015-05-20,14.6,0.1,78.8,22.3,38.74
2015-05-21,15.5,,78.6,22.4,38.61
2015-05-22,17.5,,68.5,24.4,38.48
2015-05-23,18.2,,63.1,24.7,38.34
2015-05-24,17.6,,54.5,25.1,38.21
2015-05-25,15,,83.6,23.6,38.05
2015-05-26,16,,82.8,24.4,37.9
2015-05-27,20.6,,51,26.8,37.75
2015-05-28,21.9,,50,29,37.59
2015-05-29,21.4,,56.8,29.3,37.46
2015-05-30,17.5,3,91.8,22.1,37.32
2015-05-31,18.6,,80.8,25,37.18
2015-06-01,19.9,,74.5,27.3,37.05
2015-06-02,19.8,,73.9,25.8,36.91
2015-06-03,19.8,,59.6,27.7,36.77
2015-06-04,19.7,,57.9,26,36.65
2015-06-05,18.8,0.1,65.4,26.4,36.46
2015-06-06,19.7,,70.5,26.9,36.29
2015-06-07,21.2,,64.9,28.4,36.16
2015-06-08,21.2,,70,27.4,36.03
2015-06-09,20,,84.9,28,35.89
2015-06-10,21.8,,78.3,29,35.73
2015-06-11,21.3,9,84.3,23.7,35.58
2015-06-12,22.4,0.1,73.1,25.1,35.43
2015-06-13,24.9,,63,27.2,35.29
2015-06-14,21.8,7.5,84,22.9,35.15
2015-06-15,21.9,,86.5,26.1,35.06
2015-06-16,20.4,,90.3,27.7,35.02
2015-06-17,21.1,0.5,89.8,26.3,35.03
2015-06-18,23.9,,72.9,28.2,35.04
2015-06-19,22.7,,77.5,30.5,34.97
2015-06-20,19.3,14,100,21,34.79
2015-06-21,21.1,,82.5,25.1,34.69
2015-06-22,21.3,,85,28.2,34.61
2015-06-23,22,,80,28.2,34.53
2015-06-24,22,,84.3,26.3,34.54
