xcoord, ycoord, zcoord
1.764540000000270084e+02,1.333050000004004687e+01,-9.000000000000000000e+00
2.788500000000058208e+02,2.222850000002654269e+01,-9.000000000000000000e+00
2.354220000000204891e+02,1.925000000046566129e-01,-9.000000000000000000e+00
2.073200000000069849e+02,-5.615849999996135011e+01,-9.000000000000000000e+00
1.547210000000195578e+02,-5.340349999995669350e+01,-9.000000000000000000e+00
1.499980000000214204e+02,-8.645649999997112900e+01,-9.000000000000000000e+00
-7.563279999999795109e+02,1.823825000000069849e+02,-9.000000000000000000e+00
-7.531999999999825377e+02,1.034895000000251457e+02,-9.000000000000000000e+00
-6.983229999999748543e+02,3.313850000000093132e+01,-9.000000000000000000e+00
-7.597549999999755528e+02,2.715855000000447035e+02,-9.000000000000000000e+00
-6.841699999999837019e+02,2.020275000000256114e+02,-9.000000000000000000e+00
-7.093639999999722932e+02,2.831095000000204891e+02,-9.000000000000000000e+00
-7.382779999999911524e+02,3.228234999999986030e+02,-9.000000000000000000e+00
-7.072439999999769498e+02,3.671155000000144355e+02,-9.000000000000000000e+00
-6.391529999999911524e+02,1.330695000000414439e+02,-9.000000000000000000e+00
-6.184149999999790452e+02,5.558950000000186265e+01,-9.000000000000000000e+00
-6.128529999999736901e+02,3.116535000000149012e+02,-9.000000000000000000e+00
-5.670839999999734573e+02,1.518695000000298023e+02,-9.000000000000000000e+00
-5.458029999999853317e+02,7.390549999999348074e+01,-9.000000000000000000e+00
-5.874139999999897555e+02,2.285665000000153668e+02,-9.000000000000000000e+00
-4.914909999999799766e+02,2.543894999999902211e+02,-9.000000000000000000e+00
-4.717939999999944121e+02,1.770385000000242144e+02,-9.000000000000000000e+00
-4.590109999999694992e+02,1.283605000000097789e+02,-9.000000000000000000e+00
-3.959849999999860302e+02,1.498525000000372529e+02,-9.000000000000000000e+00
-6.078579999999783468e+02,3.986955000000307336e+02,-9.000000000000000000e+00
-5.360909999999857973e+02,4.172495000000344589e+02,-9.000000000000000000e+00
-5.222299999999813735e+02,3.370634999999892898e+02,-9.000000000000000000e+00
-3.994849999999860302e+02,1.970464999999967404e+02,-9.000000000000000000e+00
-3.947049999999871943e+02,2.819484999999986030e+02,-9.000000000000000000e+00
-3.941499999999941792e+02,3.724575000000186265e+02,-9.000000000000000000e+00
-4.386539999999804422e+02,4.423985000000102445e+02,-9.000000000000000000e+00
-3.632209999999904539e+02,4.661095000000204891e+02,-9.000000000000000000e+00
-2.805709999999671709e+02,4.885794999999925494e+02,-9.000000000000000000e+00
-2.079989999999816064e+02,5.085165000000270084e+02,1.000000000000000000e+00
-1.035829999999841675e+02,5.290354999999981374e+02,1.000000000000000000e+00
-1.147799999997369014e+01,5.526284999999916181e+02,1.000000000000000000e+00
6.446300000001792796e+01,5.746145000000251457e+02,1.000000000000000000e+00
1.536380000000062864e+02,6.213635000000358559e+02,1.000000000000000000e+00
1.595630000000237487e+02,5.130925000000279397e+02,1.000000000000000000e+00
4.526200000001699664e+01,4.813395000000018626e+02,1.000000000000000000e+00
-4.751999999978579581e+00,4.749755000000004657e+02,1.000000000000000000e+00
-9.587699999997857958e+01,4.446645000000135042e+02,1.000000000000000000e+00
-1.350729999999748543e+02,4.415155000000377186e+02,1.000000000000000000e+00
-2.211049999999813735e+02,4.191174999999930151e+02,1.000000000000000000e+00
-2.926359999999694992e+02,3.985615000000107102e+02,-9.000000000000000000e+00
-3.199419999999809079e+02,2.995304999999934807e+02,-9.000000000000000000e+00
-2.223999999999941792e+02,3.273855000000330620e+02,1.000000000000000000e+00
-2.279429999999701977e+02,2.600354999999981374e+02,1.000000000000000000e+00
-2.928169999999809079e+02,2.206765000000013970e+02,1.000000000000000000e+00
-1.165899999999674037e+02,3.549695000000065193e+02,1.000000000000000000e+00
6.240000000002328306e+01,3.766955000000307336e+02,1.000000000000000000e+00
-1.724499999999534339e+01,3.765325000000302680e+02,1.000000000000000000e+00
-1.134779999999736901e+02,2.686124999999883585e+02,1.000000000000000000e+00
-2.634499999997206032e+01,2.770165000000270084e+02,1.000000000000000000e+00
7.387800000002607703e+01,2.838575000000419095e+02,1.000000000000000000e+00
1.494160000000265427e+02,2.931064999999944121e+02,1.000000000000000000e+00
1.488800000000046566e+02,3.787795000000041910e+02,1.000000000000000000e+00
1.339980000000214204e+02,1.067725000000209548e+02,1.000000000000000000e+00
1.247410000000090804e+02,5.304250000003958121e+01,1.000000000000000000e+00
1.057330000000074506e+02,3.683500000042840838e+00,1.000000000000000000e+00
9.091900000002351590e+01,-4.654050000000279397e+01,1.000000000000000000e+00
7.456000000002677552e+01,-9.636849999998230487e+01,-9.000000000000000000e+00
5.951900000002933666e+01,-1.489475000000093132e+02,-9.000000000000000000e+00
3.740400000000954606e+01,-1.934234999999753200e+02,-9.000000000000000000e+00
2.398800000001210719e+01,-2.345084999999962747e+02,-9.000000000000000000e+00
-4.025999999999767169e+02,-5.909084999999613501e+02,1.000000000000000000e+00
-7.002979999999806751e+02,-7.217294999999576248e+02,-9.000000000000000000e+00
-4.670719999999855645e+02,-6.220455000000074506e+02,1.000000000000000000e+00
-6.283939999999711290e+02,-6.894554999999818392e+02,-9.000000000000000000e+00
-5.395679999999701977e+02,-6.594034999999566935e+02,-9.000000000000000000e+00
-3.422849999999743886e+02,-6.895675000000046566e+02,1.000000000000000000e+00
-6.580269999999727588e+02,-8.126774999999906868e+02,-9.000000000000000000e+00
-4.195769999999902211e+02,-7.224024999999674037e+02,1.000000000000000000e+00
-5.846669999999867287e+02,-7.782944999999599531e+02,-9.000000000000000000e+00
-5.027339999999676365e+02,-7.406224999999976717e+02,-9.000000000000000000e+00
-3.259169999999867287e+02,-7.783514999999897555e+02,1.000000000000000000e+00
-6.139759999999951106e+02,-9.023684999999823049e+02,-9.000000000000000000e+00
-3.814339999999792781e+02,-8.031865000000107102e+02,-9.000000000000000000e+00
-5.426059999999706633e+02,-8.675914999999804422e+02,-9.000000000000000000e+00
-4.612149999999674037e+02,-8.284814999999944121e+02,-9.000000000000000000e+00
-3.164599999999918509e+02,-8.642314999999944121e+02,-9.000000000000000000e+00
-5.817369999999937136e+02,-9.696034999999683350e+02,-9.000000000000000000e+00
-3.433949999999895226e+02,-8.829144999999552965e+02,-9.000000000000000000e+00
-5.115419999999867287e+02,-9.365584999999846332e+02,-9.000000000000000000e+00
-4.313429999999934807e+02,-8.883464999999850988e+02,-9.000000000000000000e+00
-7.450869999999704305e+02,-6.207184999999590218e+02,-9.000000000000000000e+00
-4.748979999999864958e+02,-4.845814999999711290e+02,1.000000000000000000e+00
-6.725939999999827705e+02,-5.861734999999753200e+02,-9.000000000000000000e+00
-5.224419999999809079e+02,-5.074604999999864958e+02,-9.000000000000000000e+00
-5.986509999999834690e+02,-5.428015000000013970e+02,-9.000000000000000000e+00
-8.338329999999841675e+02,-4.860895000000018626e+02,-9.000000000000000000e+00
-5.296669999999867287e+02,-3.478134999999892898e+02,-9.000000000000000000e+00
-7.460449999999837019e+02,-4.378454999999958090e+02,-9.000000000000000000e+00
-5.903909999999741558e+02,-3.703474999999743886e+02,-9.000000000000000000e+00
-6.665399999999790452e+02,-4.022424999999930151e+02,-9.000000000000000000e+00
-8.774789999999920838e+02,-3.209864999999990687e+02,-9.000000000000000000e+00
-5.877429999999876600e+02,-1.892774999999674037e+02,-9.000000000000000000e+00
-8.146369999999878928e+02,-2.892035000000032596e+02,-9.000000000000000000e+00
-6.600069999999832362e+02,-2.241934999999939464e+02,-9.000000000000000000e+00
-7.377499999999708962e+02,-2.555025000000023283e+02,-9.000000000000000000e+00
-8.512529999999678694e+02,-2.136184999999823049e+02,-9.000000000000000000e+00
-7.247499999999708962e+02,-8.382250000000931323e+01,-9.000000000000000000e+00
-7.775299999999697320e+02,-1.721024999999790452e+02,-9.000000000000000000e+00
-6.519049999999697320e+02,-9.351250000001164153e+01,-9.000000000000000000e+00
-7.187589999999909196e+02,-3.305349999997997656e+01,-9.000000000000000000e+00
-6.747099999999045394e+01,4.679850000003352761e+01,1.000000000000000000e+00
-6.942399999996996485e+01,2.327250000002095476e+01,1.000000000000000000e+00
-7.296699999997508712e+01,-2.362349999998696148e+01,1.000000000000000000e+00
-7.657399999999324791e+01,-7.384849999996367842e+01,1.000000000000000000e+00
-8.014899999997578561e+01,-1.223434999999590218e+02,1.000000000000000000e+00
-8.347599999999511056e+01,-1.702214999999850988e+02,1.000000000000000000e+00
-8.756599999999161810e+01,-2.199265000000013970e+02,1.000000000000000000e+00
-9.338099999999394640e+01,-2.711655000000027940e+02,-9.000000000000000000e+00
-9.720599999997648410e+01,-3.195785000000032596e+02,-9.000000000000000000e+00
